Website_ID,Domain,URL_Accessed,Audit_Status,Last_Error,Retry_Count,Audit_Level,Run_ID,Access_Date_UTC,Country_or_Market_Observed,Access_Locale,Browser,Headless_Audit,Cookie_Banner_Present,Banner_Type,Consent_Layer_Depth,CMP_Vendor,CMP_Evidence,IAB_TCF_Mentioned,TCF_Evidence,L1_Evidence_Quote,L1_Screenshot_Ref,L1_Accept_All_Present,L1_Reject_All_Present,L1_Manage_Preferences_Present,Accept_Click_Count,Reject_Click_Count,Manage_Click_Count,EE_Click_Asymmetry_RejectMinusAccept,EE_Hidden_Reject_Path,AE_Accept_Button_Prominence_1to3,AE_Reject_Button_Prominence_1to3,AE_Size_Asymmetry_LargerEqualSmaller,AE_Primary_Action_Is_Accept,L2_Available,L2_Evidence_Quote,L2_Screenshot_Ref,L2_Toggle_Count,L2_Vendor_Count,L2_Text_Word_Count,L2_Information_Density_Score_1to5,L2_Germane_Support_Score_1to5,CL_Toggle_Vendor_Complexity_Index,CL_Germane_Suppression_Indicators,AA_RePrompting_After_Reject,AA_RePrompt_Frequency_Observed,SP_Message_ID,SP_Campaign_ID,SP_Variant_Evidence,OT_Purpose_Count,OT_Vendor_Count,Evidence_JSON_Ref
ACLDP_0001,site-0001.invalid,https://site-0001.invalid,Completed,,0.0,L1,20260311T011542Z,2026-03-11T01:15:44Z,,en-US,Chromium,Yes,No,None,,Unknown,,No,,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0001.json
ACLDP_0002,site-0002.invalid,https://site-0002.invalid,Failed,"Navigation error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://site-0002.invalid/
Call log:
  - navigating to ""https://site-0002.invalid/"", waiting until ""domcontentloaded""
",2.0,L1,20260311T021938Z,2026-03-11T02:19:39Z,,en-US,Chromium,Yes,No,None,,,,,,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0002.json
ACLDP_0003,site-0003.invalid,https://site-0003.invalid,Failed,"Navigation error: Page.goto: Navigation to ""https://site-0003.invalid/"" is interrupted by another navigation to ""chrome-error://chromewebdata/""
Call log:
  - navigating to ""https://site-0003.invalid/"", waiting until ""domcontentloaded""
",2.0,L1,20260311T021938Z,2026-03-11T02:19:39Z,,en-US,Chromium,Yes,No,None,,,,,,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0003.json
ACLDP_0004,site-0004.invalid,https://site-0004.invalid,Failed,"Navigation error: Page.goto: Navigation to ""https://site-0004.invalid/"" is interrupted by another navigation to ""https://www.site-0003.invalid/en-sa/""
Call log:
  - navigating to ""https://site-0004.invalid/"", waiting until ""domcontentloaded""
",2.0,L1,20260311T021938Z,2026-03-11T02:19:40Z,,en-US,Chromium,Yes,No,None,,,,,,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0004.json
ACLDP_0005,site-0005.invalid,https://site-0005.invalid,Failed,"Navigation error: Page.goto: Navigation to ""https://site-0005.invalid/"" is interrupted by another navigation to ""https://www.site-0004.invalid/""
Call log:
  - navigating to ""https://site-0005.invalid/"", waiting until ""domcontentloaded""
",2.0,L1,20260311T021938Z,2026-03-11T02:19:40Z,,en-US,Chromium,Yes,No,None,,,,,,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0005.json
ACLDP_0006,site-0006.invalid,https://site-0006.invalid,Completed,,0.0,L1,20260311T011550Z,2026-03-11T01:15:51Z,,en-US,Chromium,Yes,No,None,,Unknown,,Yes,HTML match: /tcstring/,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0006.json
ACLDP_0007,site-0007.invalid,https://site-0007.invalid,Completed,,0.0,L1,20260311T011550Z,2026-03-11T01:15:58Z,,en-US,Chromium,Yes,No,None,,OneTrust,HTML match: /onetrust/,No,,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0007.json
ACLDP_0008,site-0008.invalid,https://site-0008.invalid,Completed,,0.0,L1,20260311T011550Z,2026-03-11T01:16:02Z,,en-US,Chromium,Yes,No,None,,Unknown,,No,,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0008.json
ACLDP_0009,site-0009.invalid,https://site-0009.invalid,Completed,,0.0,L1,20260311T011550Z,2026-03-11T01:16:06Z,,en-US,Chromium,Yes,No,None,,Unknown,,No,,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0009.json
ACLDP_0010,site-0010.invalid,https://site-0010.invalid,Failed,"Navigation error: Page.goto: net::ERR_CONNECTION_REFUSED at https://site-0010.invalid/
Call log:
  - navigating to ""https://site-0010.invalid/"", waiting until ""domcontentloaded""
",2.0,L1,20260311T021938Z,2026-03-11T02:19:41Z,,en-US,Chromium,Yes,No,None,,,,,,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0010.json
ACLDP_0011,site-0011.invalid,https://site-0011.invalid,Failed,"Navigation error: Page.goto: Navigation to ""https://site-0011.invalid/"" is interrupted by another navigation to ""chrome-error://chromewebdata/""
Call log:
  - navigating to ""https://site-0011.invalid/"", waiting until ""domcontentloaded""
",2.0,L1,20260311T021938Z,2026-03-11T02:19:41Z,,en-US,Chromium,Yes,No,None,,,,,,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0011.json
ACLDP_0012,site-0012.invalid,https://site-0012.invalid,Failed,"Navigation error: Page.goto: Navigation to ""https://site-0012.invalid/"" is interrupted by another navigation to ""https://www.site-0011.invalid/""
Call log:
  - navigating to ""https://site-0012.invalid/"", waiting until ""domcontentloaded""
",2.0,L1,20260311T021938Z,2026-03-11T02:19:42Z,,en-US,Chromium,Yes,No,None,,,,,,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0012.json
ACLDP_0013,site-0013.invalid,https://site-0013.invalid,Failed,"Navigation error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://site-0013.invalid/
Call log:
  - navigating to ""https://site-0013.invalid/"", waiting until ""domcontentloaded""
",2.0,L1,20260311T021938Z,2026-03-11T02:19:42Z,,en-US,Chromium,Yes,No,None,,,,,,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0013.json
ACLDP_0014,site-0014.invalid,https://site-0014.invalid,Failed,"Navigation error: Page.goto: Navigation to ""https://site-0014.invalid/"" is interrupted by another navigation to ""chrome-error://chromewebdata/""
Call log:
  - navigating to ""https://site-0014.invalid/"", waiting until ""domcontentloaded""
",2.0,L1,20260311T021938Z,2026-03-11T02:19:43Z,,en-US,Chromium,Yes,No,None,,,,,,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0014.json
